imdb_title_id	title	year	genre	director	avg_vote
tt0018530	Controcorrente	1927	Comedy, Drama	John Ford	6.2
tt0018578	Ali	1927	Drama, Romance, War	William A. Wellman, Harry d'Abbadie d'Arrast	7.5
tt0018588	Enigma	1929	Drama	Curtis Bernhardt	6.7
tt0018615	Crisi	1928	Drama, Romance	Georg Wilhelm Pabst	7.0
tt0018862	Eliso	1928	Drama, Romance, War	Nikoloz Shengelaia	6.9
tt0018990	Heimkehr	1928	Drama, Romance, War	Joe May	6.9
tt0019043	Jûjiro	1928	Drama	Teinosuke Kinugasa	7.1
tt0019127	Maldone	1928	Drama	Jean Grémillon	6.8
tt0019374	Shiraz	1928	Drama, History, Romance	Franz Osten	7.0
tt0019509	Underground	1928	Drama, Romance	Anthony Asquith	7.3
tt0019611	Zvenigora	1928	Drama, Fantasy	Aleksandr Dovzhenko	7.1
tt0019630	Alibi	1929	Crime	Roland West	5.8
tt0019644	Applause	1929	Drama, Musical	Rouben Mamoulian	7.0
tt0019649	Arsenale	1929	Drama, War	Aleksandr Dovzhenko	7.3
tt0019655	Asfalto	1929	Crime, Drama, Romance	Joe May	7.4
tt0019658	Atlantic	1929	Drama	Ewald André Dupont	5.5
tt0019702	Ricatto	1929	Crime, Thriller	Alfred Hitchcock	7.0
tt0019725	Broadway	1929	Crime, Music, Romance	Pál Fejös	6.2
tt0019788	Coquette	1929	Drama, Romance	Sam Taylor	5.8
tt0019800	Funamboli	1929	Drama	Lothar Mendes	5.9
tt0019823	Disraeli	1929	Biography, Drama, History	Alfred E. Green	6.2
tt0019824	Trafalgar	1928	Drama, History, Romance	Frank Lloyd	6.2
tt0019843	Dinamite	1929	Drama	Cecil B. DeMille	7.0
tt0019850	Erotikon	1929	Drama, Romance	Gustav Machatý	7.2
tt0019856	Evangelina	1929	Drama	Edwin Carewe	6.6
tt0020099	Linda	1929	Drama	Dorothy Davenport	6.8
tt0020144	Marianne	1929	Drama	Robert Z. Leonard	5.6
tt0020269	Piccadilly	1929	Drama, Crime	Ewald André Dupont	7.1
tt0020320	Redskin	1929	Western, Adventure, Drama	Victor Schertzinger	6.8
tt0020336	Arcobaleno	1930	Comedy, Drama, Musical	Charles Reisner	6.0
tt0020344	Rotaie	1929	Drama	Mario Camerini	6.9
tt0020358	Sally	1929	Musical	John Francis Dillon	6.1
tt0020686	Carcere	1930	Crime, Drama, Thriller	George W. Hill, Ward Wing	7.1
tt0020701	Borderline	1930	Drama	Kenneth MacPherson	6.2
tt0020785	Conspiracy	1930	Mystery	Christy Cabanne	5.4
