movieId title
0033153 Wapakoneta
0033493 Pennsylvania
0033563 Dumbo
0033603 Patrizia
0033780 Kathleen
0033790 Kipps
0033795 Knockout
0033802 Tenebre
0033858 Lydia
0033889 Mechta
0034033 Playmates
0034078 Follia
0034093 Tempesta
0034198 Skylark
0034269 Texas
0034333 Uma
0034492 Bambi
0034514 Dedizione
0034583 Casablanca
0034730 Fiesta
0034934 Katyi
0035021 Malombra
0035034 Fulminati
0035044 Mashenka
0035074 Mokey
0035127 Incubo
0035160 Ossessione
0035169 Ritrovarsi
0035279 Sabotatori
0035335 Rivalità
0035445 Tish
0035664 Bataan
0035665 Batman
0035729 Chetniks
0035735 Cina
0035742 Claudia
0035755 Corregidor
0035798 Desperados
0035810 Dixie
0035823 Evasione
0035853 Falbalas
0035957 Guadalcanal
0036033 Idaho
0036161 Minesweeper
0036182 Flicka
0036249 Paracelsus
0036323 Sahara
0036377 Bernadette
0036577 Abbandonata
0036670 Brazil
0036692 California
0036723 Fascino
0036757 Destiny
0036855 Angoscia
0036914 Spasimo
0036970 Janie
0036984 Kismet
0037030 Lumberjack
0037104 Marisa
0037115 Nabonga
0037124 Nevada
0037211 Rationing
0037227 Rikugun
0037274 Varietà
0037332 Svadba
0037446 Waterfront
0037465 Wilson
0037494 Avventura
0037578 Zingari
0037611 Nebbie
0037618 Contrattacco
0037638 Detour
0037645 Divorce
0037829 Jealousy
0037849 Kitty
0037936 Naïs
0038046 Salomè
0038212 Utah
0038285 Accomplice
0038342 Bedelia
0038343 Manicomio
0038394 Camões
0038462 Inganno
0038474 Appassionatamente
0038510 Enamorada
0038524 Fear
0038559 Gilda
0038593 Heldorado
0038622 Perdutamente
0038727 Margie
0038824 Panico
0038877 Rinnegata
0038913 Sciuscià
0038928 Shadowed
0038937 Shock
0039000 Orgasmo
0039170 Backlash
0039194 Blackmail
0039215 Ribellione
0039235 Calcutta
0039277 Idem
0039293 Cinzia
0039306 Tormento
0039312 Desiderami
0039324 Disonorata
0039361 Exposed
0039391 Ambra
0039410 Violenza
0039539 Krakatit
0039650 Voragine
0039666 Smarrimento
0039677 Fuggiasco
0039797 Naufragio
0039829 Singapore
0039852 Scheherazade
0039947 Persecuzione
0039960 Violence
0040067 Aag
0040148 Banketten
0040214 Casbah
0040221 Caught
0040249 Counterblast
0040270 Pazzia
0040330 Eva
0040335 Passioni
0040365 Forbidden
0040558 Macbeth
0040585 Michurin
0040753 Saigon
0040759 Suggestione
0040782 Shozo
0040808 Snowbound
0040852 Superman
0040887 Oppio
0041109 Alimony
0041123 Andaz
0041141 Aventurera
0041149 Bagdad
0041161 Barsaat
0041163 Bastogne
0041172 Peccato
0041182 Cagliostro
0041207 Corruzione
0041251 Malerba
0041342 Fabiola
0041399 Prigione
0041403 Gategutter
0041414 Gigi
0041481 Odio
0041482 Omicidio
0041523 Jigsaw
0041529 Cocaina
0041576 Landfall
0041619 Mahal
0041622 Malesia
0041634 Manon
0041663 Purificazione
0041719 Orfeo
0041786 Sgomento
0041792 Minuzzolo
0041826 Rotation
0041832 Rustlers
0041880 Skarb
0041954 Tensione
0041983 Trapped
0041994 Tulsa
0042030 Vulcano
0042258 Blackout
0042282 Normandia
0042332 Cenerentola
0042539 Okinawa
0042546 Harvey
0042644 Kim
0042669 Linciaggio
0042727 Uomini
0042748 Mosekongen
0042752 Trio
0042803 Olivia
0042848 Credimi
0042876 Rashomon
0042958 Scandalo
0042963 Sierra
0043052 Indianapolis
0043057 Tototarzan
0043153 Chimere
0043287 Anna
0043306 Awaara
0043307 Baazi
0043317 Bannerline
0043332 Bellissima
0043418 Cloudburst
0043424 Alcool
0043608 Gunplay
0043677 Tortura
0043703 Kekec
0043766 M
0043801 Meshi
0043852 Solitudine
0043871 Odette
0043899 Pandora
0043914 Omertà
0043973 Roadblock
0044070 Starlift
0044087 Sugarfoot
0044092 Surcos
0044112 Teresa
0044331 Trinidad
0044527 Daag
0044696 Heidi
0044741 Vivere
0044745 Inazuma
0044760 Ivanhoe
0044761 Jaal
0044788 Kangarù
0044891 Maksimka
0044952 Nagarik
0044986 Okaasan
0045016 Paula
0045084 Revizor
0045160 Snegurochka
0045183 Spartaco
0045232 Perdono
0045361 Lui
0045467 Aah
0045483 Aida
0045515 Arena
0045654 Mandy
0045665 Cómicos
0045763 Annie
0045776 Fløjtespilleren
0045796 Fûfu
0045802 Gan
0045875 Hiroshima
0045880 Hokuspokus
0045883 Hondo
0045911 Inferno
0045926 Jalopy
0045927 Giamaica
0045931 Jennifer
0046000 Lili
0046034 Illusione
0046045 Marilyn
0046126 Niagara
0046164 Parineeta
0046231 Recoil
0046238 Samoa
0046260 Saadia
0046264 Sadko
0046272 Sangaree
0046294 Seminole
0046344 Sombrero
0046431 Bassopiano
0046435 Titanic
0046451 Grisbì
0046464 Precipitevolissimevolmente
0046468 Tsuma
0046504 Vesna
0046520 Violated
0046703 Amar
0046713 Andriesh
0046729 Atomicofollia
0046743 Bait
0046770 Controspionaggio
0046819 Canaris
0046903 Désirée
0046905 Desperado
0046979 Malaga
0047034 Godzilla
0047059 Zingaro
0047089 Hilmanpäivät
0047112 Impulse
0047180 Liliomfi
0047207 Mambo
0047265 Nana
0047395 Radici
0047408 Rapsodia
0047437 Sabrina
0047469 Senso
0047484 Versailles
0047532 Chrichina
0047556 Tanganika
0047630 Ulisse
0047844 Gunpoint
0047896 Bravissimo
0047976 Dementia
0047990 Devdas
0048021 Rififi
0048104 Henriette
0048112 Geordie
0048227 Jedda
0048275 Körhinta
0048287 Alamo
0048326 Bäxtiyar
0048359 Mat
0048461 Ovod
0048491 Picnic
0048500 Pokolenie
0048523 Qivitoq
0048620 Simba
0048696 Tarantola
0048726 Timberjack
0048806 Wichita
0048983 Bandito
0049042 Calabuig
0049055 Carousel
0049077 Cien
0049091 Congo
0049153 Donatella
0049234 Fright
0049247 Gaby
0049259 Gervaise
0049268 Glory
0049377 Jacqueline
0049393 Kabuliwala
0049446 Lisbona
0049520 Montecarlo
0049537 Nagareru
0049652 Supplizio
0049668 Rappresaglia
0049706 Safari
0049714 Santiago
0049737 Serenata
0049756 Shûu
0049771 Smiley
0049808 Shetlandsgjengen
0049873 Tigrotto
0049875 Trapezio
0049968 Yambaó
0049973 Autostop
0050123 Montparnasse
0050136 Arakure
0050161 Bakaruhában
0050173 Bayou
0050235 Psycus
0050293 Davy
0050316 Dino
0050338 Drango
0050359 Eroica
0050406 Fortunella
0050544 Interludio
0050552 Istanbul
0050612 Kuchizuke
0050629 Timbuctù
0050658 Arianna
0050665 Madhumati
0050837 Perri
0050871 Godot
0050872 Quantez
0050933 Sayonara
0051049 Tamango
0051175 Vysota
0051205 Womaneater
0051217 Yukiguni
0051246 Valencia
0051343 Ajantrik
0051367 Anzukko
0051433 Bravados
0051496 Cowboy
0051519 Commandos
0051539 Djamilah
